from_domain,reply_to_differs,return_path_differs,x_mailer_missing,received_count,spoofed_display_name,url_count,has_ip_url,has_shortener,url_length_avg,has_https,https_token,has_at_in_url,suspicious_keywords,mouse_over,popup_window,right_click_disabled,iframe,submit_to_email,label
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,2,0,0,44.0,0,0,0,4,0,0,0,0,0,0
enron.com,0,0,1,0,0,2,0,0,44.0,0,0,0,4,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,45.0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grandecom.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grandecom.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,22.0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,22.0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,22.0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austinenergy.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,78.0,0,0,0,1,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,78.0,0,0,0,1,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,23.0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enron.com,0,0,1,0,0,1,0,0,35.0,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fedex.com,0,1,1,3,0,4,0,0,187.0,1,0,0,1,0,0,0,0,0,1
,0,1,1,1,0,5,0,1,144.6,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,35.0,1,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,4,0,0,68.25,0,0,0,0,0,0,0,0,0,1
,0,1,1,6,0,5,0,1,266.8,1,1,0,2,0,0,0,0,0,1
,0,1,1,4,0,3,0,0,98.33333333333333,1,0,1,0,0,0,0,0,0,1
,0,1,1,4,0,3,0,0,101.33333333333333,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,48.0,1,0,0,1,0,0,0,0,0,1
,0,1,1,2,0,3,0,0,106.66666666666667,1,0,1,1,0,0,0,0,0,1
,0,1,0,3,0,2,0,0,176.0,1,0,0,4,0,0,0,0,0,1
,0,1,1,2,0,4,0,1,56.25,1,0,0,0,0,0,0,0,0,1
,0,1,1,6,0,5,0,1,266.8,1,1,0,2,0,0,0,0,0,1
,0,1,1,4,0,3,0,1,163.66666666666666,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,10,0,0,189.6,1,0,1,1,0,1,0,0,0,1
,0,1,1,2,0,1,0,0,77.0,0,0,1,3,0,0,0,0,0,1
,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
,0,1,1,6,0,3,0,0,76.0,1,0,1,4,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,86.0,1,0,1,2,0,0,0,0,0,1
,0,1,0,2,0,3,0,0,70.66666666666667,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,55.0,1,0,1,1,0,0,0,0,0,1
,0,1,0,4,0,2,0,0,52.0,1,0,0,4,0,0,0,0,0,1
,0,1,1,4,0,23,0,0,70.43478260869566,1,0,0,1,0,0,0,0,0,1
,0,1,1,3,0,24,0,0,204.75,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,5,0,0,49.8,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,24,0,1,197.08333333333334,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,23.0,1,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,4,0,0,91.25,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,4,0,0,87.75,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,6,0,0,50.833333333333336,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,36.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,3,0,2,0,0,350.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,0,2,0,1,202.5,1,0,1,1,0,0,0,0,0,1
,0,1,1,3,0,2,0,0,356.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,2,0,3,0,1,103.0,1,0,1,3,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,44.0,1,0,1,0,0,0,0,0,0,1
,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,0,1,1,4,0,4,0,0,132.0,1,0,1,1,0,0,0,0,0,1
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,58.5,1,0,1,2,0,0,0,0,0,1
,0,1,1,3,0,5,0,1,269.4,1,1,0,1,0,0,0,0,0,1
,0,1,0,2,0,9,0,1,153.0,1,0,0,1,0,0,0,0,0,1
monkey.org,0,0,1,2,0,2,0,0,45.5,1,0,1,2,0,0,0,0,0,1
,0,1,1,3,0,5,0,1,266.8,1,1,0,2,0,0,0,0,0,1
,0,1,1,2,0,3,0,1,119.33333333333333,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,44.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,2,0,1,201.0,1,0,1,2,0,0,0,1,0,1
monkey.org,0,0,1,2,0,2,0,0,76.0,1,0,1,2,0,0,0,0,0,1
,0,1,0,2,0,2,0,0,60.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,2,0,1,46.5,0,0,0,2,0,0,0,0,0,1
,0,1,1,2,1,1,0,0,57.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,4,0,0,120.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,70.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,11,0,0,153.36363636363637,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,91.0,1,0,1,0,0,0,0,0,0,1
monkey.org,0,0,1,3,0,5,0,0,105.8,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,4,0,0,74.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,4,0,0,74.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,72.0,0,0,0,0,0,0,0,0,0,1
,0,1,1,4,0,1,0,1,156.0,1,0,0,0,0,0,0,0,0,1
,1,1,1,2,0,2,0,1,103.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,62.0,0,0,1,3,0,0,0,0,0,1
,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,0,1,1,3,0,5,0,0,302.2,1,0,0,1,0,0,0,0,0,1
,0,1,1,3,0,5,0,0,301.0,1,0,0,1,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,49.5,1,0,1,3,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,51.0,0,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,144.5,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,110.33333333333333,1,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,83.0,1,0,1,4,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,198.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,76.0,0,0,1,2,0,0,0,0,0,1
,1,1,1,2,0,12,0,0,120.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,117.5,1,0,0,1,0,0,0,0,0,1
monkey.org,0,0,1,2,0,2,0,0,49.0,1,0,1,0,0,0,0,0,0,1
,1,1,1,2,0,12,0,0,120.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,2,0,4,0,0,68.0,0,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,1,1,1,1,0,6,0,0,85.83333333333333,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,62.0,1,0,1,2,0,0,0,0,0,1
,1,1,1,2,0,2,0,0,57.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,30,0,0,120.33333333333333,1,0,1,2,0,0,0,0,0,1
,0,1,0,2,0,2,0,0,92.5,1,0,1,1,0,0,0,0,0,1
,1,1,1,1,0,4,0,0,59.5,1,0,1,1,0,0,0,0,0,1
,1,1,1,2,0,12,0,0,120.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,127.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,4,0,0,101.5,1,0,0,1,0,0,0,0,0,1
,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
nrrs.net,0,0,1,9,0,6,0,0,88.33333333333333,1,0,1,3,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,164.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,61.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,50.5,1,0,1,3,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,61.0,0,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,1,101.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,1,101.0,1,0,1,2,0,0,0,0,0,1
,0,1,0,3,0,3,0,0,274.3333333333333,1,0,0,1,0,0,0,0,0,1
selfserviceib.com,0,0,1,2,0,4,0,0,72.0,1,0,0,1,0,0,0,0,0,1
,0,0,1,2,0,2,0,0,111.0,1,0,1,2,0,0,0,0,0,1
,0,0,1,2,0,2,0,0,111.0,1,0,1,2,0,0,0,0,0,1
,0,0,1,3,0,2,0,0,116.0,1,0,1,3,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,237.0,1,1,1,2,0,0,0,0,0,1
monkey.org,0,1,1,1,0,3,0,0,80.0,1,0,1,3,0,0,0,0,0,1
,0,1,1,2,0,4,0,0,45.5,1,0,0,0,0,0,0,0,0,1
,1,1,1,2,0,4,0,1,510.0,1,1,0,1,0,0,0,0,0,1
,0,1,1,1,1,1,0,0,48.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,60.0,1,0,1,0,0,0,0,0,0,1
pharrnazoneco.com,0,0,0,1,0,1,0,1,81.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,99.0,1,0,1,0,0,0,0,0,0,1
,1,1,1,3,0,4,0,0,1159.5,1,0,0,1,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,56.0,1,0,0,2,0,0,0,0,0,1
g-dys.info,0,0,1,1,0,3,0,0,67.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,1,2,0,0,46.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,46.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,55.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,49.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,68.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,1,2,0,0,53.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,6,0,1,270.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,8,0,3,0,0,68.0,0,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,5,0,1,85.2,1,0,0,2,0,0,0,0,0,1
,0,0,1,2,0,4,0,0,177.5,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,65.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,8,0,0,52.75,1,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,5,0,1,67.4,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,5,0,1,67.4,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,3,0,0,41.0,1,0,0,1,0,0,0,0,0,1
,1,1,0,6,0,3,0,0,36.0,0,0,0,4,0,0,0,0,0,1
,0,1,1,1,0,2,0,1,147.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,8,0,0,49.75,1,0,0,0,0,0,0,0,0,1
,0,1,1,3,1,2,0,1,147.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,1,2,0,1,147.5,1,0,0,2,0,0,0,0,0,1
,0,1,0,2,0,8,0,0,36.375,1,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,2,0,0,70.5,1,0,0,2,0,0,0,0,0,1
,1,1,1,3,0,4,0,0,1158.0,1,0,0,1,0,0,0,0,0,1
,0,1,1,3,0,2,0,0,70.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,30.5,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,4,0,0,383.0,1,0,1,1,0,0,0,0,0,1
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,4,0,0,383.0,1,0,1,1,0,0,0,0,0,1
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,4,0,0,113.5,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,20,0,0,81.0,1,0,0,1,0,0,0,0,0,1
,0,1,1,1,0,5,0,1,119.8,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,147.66666666666666,1,1,1,4,0,0,0,0,0,1
,0,1,1,6,0,3,0,0,62.666666666666664,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,4,0,0,100.5,1,0,1,0,0,0,0,0,0,1
,0,1,1,4,0,3,0,0,125.66666666666667,1,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,39.5,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,121.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,130.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,69.5,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,69.5,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,78.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,5,0,1,119.8,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,100.0,1,0,1,3,0,0,0,0,0,1
,1,1,1,3,0,4,0,0,782.25,1,0,1,4,0,0,0,0,0,1
,0,1,1,2,0,4,0,1,53.75,1,0,0,5,0,0,0,0,0,1
,0,1,1,1,0,13,0,1,64.15384615384616,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,13,0,1,64.15384615384616,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,4,0,0,114.5,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,1,2,0,0,86.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,1,2,0,1,63.5,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,1,2,0,1,56.5,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,0,4,0,1,101.25,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,57.0,1,0,1,2,0,0,0,0,0,1
,1,1,1,2,0,4,0,0,77.5,1,0,1,4,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,65.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,2,0,4,0,1,101.25,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,36.0,0,0,0,1,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,98.0,1,0,1,3,0,0,0,0,0,1
,0,0,1,2,0,2,0,0,89.5,1,0,1,3,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,32.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,7,0,1,79.28571428571429,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,187.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,4,0,1,108.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,10,0,0,71.7,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,71.33333333333333,1,0,1,3,0,0,0,0,0,1
,0,1,1,1,0,1,0,1,99.0,1,0,1,4,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,32.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,4,0,1,99.75,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,1,1,0,0,34.0,1,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,4,0,1,100.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,5,0,1,62.6,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,120.5,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,124.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,3,0,31,0,1,294.6774193548387,1,0,0,1,0,0,0,0,0,1
,0,1,1,1,0,10,0,0,71.7,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,96.0,0,0,0,2,0,0,0,0,0,1
,0,1,1,3,1,5,0,1,61.4,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,26.0,1,0,0,1,0,0,0,0,0,1
,0,1,1,1,0,6,0,0,42.166666666666664,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,91.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,3,0,0,53.333333333333336,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,104.66666666666667,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,140.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,98.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,36.0,0,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,2,0,0,121.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,83.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,5,0,1,61.6,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,3,0,0,327.3333333333333,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,40.5,1,0,0,0,0,0,0,0,0,1
,0,1,1,4,0,20,0,0,235.1,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,0,5,0,1,61.4,1,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,109.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,109.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,109.0,1,0,1,2,0,0,0,0,0,1
,0,0,1,2,0,2,0,0,107.5,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,1,3,0,0,87.33333333333333,1,0,1,1,0,0,0,0,0,1
,0,1,1,3,0,2,0,1,39.5,0,0,0,2,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,138.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,3,0,1,0,0,30.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,3,0,7,0,0,52.857142857142854,1,0,0,0,0,0,0,0,0,1
,0,1,1,3,1,1,0,0,30.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,3,0,6,0,0,48.833333333333336,1,0,0,1,0,0,0,0,0,1
,0,1,1,3,1,5,0,1,62.2,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,1,3,0,0,30.666666666666668,1,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,7,0,1,135.71428571428572,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,44.333333333333336,1,0,1,2,0,0,0,0,0,1
,0,1,1,3,0,2,0,0,364.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,163.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,1,5,0,1,60.6,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,16,0,1,258.75,1,0,1,1,0,0,0,0,0,1
,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,1,3,0,1,0,0,30.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,30.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,78.0,1,0,1,3,0,0,0,0,0,1
,1,1,1,3,0,6,0,0,601.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,3,0,2,0,0,312.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,1,0,6,0,0,43.833333333333336,1,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,60.0,1,0,1,3,0,0,0,0,0,1
,0,1,1,1,0,6,0,0,43.833333333333336,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,131.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,110.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,2,0,1,124.5,1,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,9,0,0,44.888888888888886,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,70.0,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,110.5,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,106.5,1,0,1,1,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,106.5,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,174.0,1,0,1,3,0,0,0,0,0,1
,0,1,1,1,0,1,0,0,119.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,5,0,0,132.8,1,0,1,1,0,0,0,0,0,1
,0,1,1,3,0,30,0,1,171.16666666666666,1,1,0,0,0,0,0,0,0,1
,0,1,1,6,0,1,0,0,99.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,36.0,0,0,0,1,0,0,0,0,0,1
,0,1,1,1,0,2,0,0,52.5,1,0,0,0,0,0,0,0,0,1
,0,1,1,2,0,3,0,0,53.333333333333336,1,0,0,1,0,0,0,0,0,1
,0,1,1,2,0,3,0,0,53.333333333333336,1,0,0,1,0,0,0,0,0,1
,0,1,1,2,0,17,0,0,238.52941176470588,1,0,1,1,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,55.0,1,0,1,1,0,0,0,0,0,1
,0,1,1,3,0,2,0,1,39.5,0,0,0,2,0,0,0,0,0,1
,0,1,1,2,0,1,0,0,71.0,1,0,1,0,0,0,0,0,0,1
,0,1,1,1,0,3,0,0,69.66666666666667,1,0,1,2,0,0,0,0,0,1
,0,1,1,1,0,5,0,1,75.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,5,0,1,75.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,2,0,0,68.0,1,0,0,3,0,0,0,0,0,1
,0,1,1,3,0,1,0,0,20.0,1,0,0,2,0,0,0,0,0,1
,0,1,1,3,0,7,0,0,59.57142857142857,1,0,0,0,0,0,0,0,0,1
,0,1,1,1,1,2,0,0,38.0,1,0,0,3,0,0,0,0,0,1
,1,1,1,4,0,1,0,0,41.0,1,0,1,1,0,0,0,0,0,1
